Date,Open,High,Low,Close,Adj Close,Volume,Increase/Decrease,,Buy_Sell_on_Open,,Buy_Sell,Return
6/30/2010,1.719333,2.028,1.553333,1.588667,1.588667,257806500,0.075998,0.30558,0,0,0,-0.002511
7/1/2010,1.666667,1.728,1.351333,1.464,1.464,123282000,0.1216,0.278737,0,0,0,-0.078473
7/2/2010,1.533333,1.54,1.247333,1.28,1.28,77097000,0.165217,0.234634,1,0,0,-0.125683
7/6/2010,1.333333,1.333333,1.055333,1.074,1.074,103003500,0.1945,0.263424,1,0,0,-0.160937
7/7/2010,1.093333,1.108667,0.998667,1.053333,1.053333,103825500,0.036585,0.110147,1,0,1,-0.019243
7/8/2010,1.076,1.168,1.038,1.164,1.164,115671000,-0.081784,0.125241,0,1,0,0.105064
7/9/2010,1.172,1.193333,1.103333,1.16,1.16,60759000,0.010239,0.081571,0,1,0,-0.003436
7/12/2010,1.196667,1.204667,1.133333,1.136667,1.136667,33037500,0.050139,0.062942,1,0,1,-0.020115
7/13/2010,1.159333,1.242667,1.126667,1.209333,1.209333,40201500,-0.043128,0.102958,1,1,1,0.063929
7/14/2010,1.196,1.343333,1.184,1.322667,1.322667,62928000,-0.105909,0.134572,0,1,1,0.093716
7/15/2010,1.329333,1.433333,1.266667,1.326,1.326,56097000,0.002507,0.131578,0,1,1,0.00252
7/16/2010,1.38,1.42,1.336667,1.376,1.376,39319500,0.002899,0.062344,0,1,1,0.037707
7/19/2010,1.424667,1.483333,1.394667,1.460667,1.460667,37297500,-0.025269,0.063575,0,1,0,0.061531
7/20/2010,1.456667,1.456667,1.336667,1.353333,1.353333,27379500,0.070939,0.089776,0,0,0,-0.073483
7/21/2010,1.377333,1.393333,1.3,1.348,1.348,18787500,0.021297,0.071795,0,0,1,-0.003941
7/22/2010,1.366667,1.416667,1.358,1.4,1.4,14367000,-0.02439,0.043201,0,1,1,0.038576
7/23/2010,1.412667,1.437333,1.404,1.419333,1.419333,9804000,-0.004719,0.023741,1,1,0,0.013809
7/26/2010,1.433333,1.433333,1.353333,1.396667,1.396667,13833000,0.025581,0.059113,0,0,0,-0.015969
